player_id,adp_dd_ppr,pts_std,pts_ppr,pts_half_ppr,pos_adp_dd_ppr,idp_tkl_solo,idp_tkl_ast,idp_tkl,idp_sack,idp_ff,gp,rush_yd,rush_fd,rush_att,rec_yd,rec_tgt,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,bonus_rec_wr,bonus_rec_te,xpmiss,xpm,xpa,fgmiss_50p,fgmiss_40_49,fgmiss_30_39,fgm_yds,fgm_50p,fgm_40_49,fgm_30_39,fgm_20_29,fgm,fga,rush_td,fum_lost,bonus_rec_rb,idp_int,idp_fum_rec,idp_tkl_loss,yds_allow_300_349,yds_allow,tkl_loss,safe,sack,pts_allow_14_20,pts_allow,pr_yd,pass_int_td,int,fum_rec,ff,def_td,def_pr_yd,def_kr_yd,def_fum_td,blk_kick,rush_40p,fum,rush_2pt,yds_allow_200_299,st_td,pr_td,def_pr_td,rec_td_40p,rec_2pt,idp_pass_def,idp_int_ret_yd,pass_yd,pass_td_40p,pass_td,pass_sack,pass_int,pass_inc,pass_fd,pass_cmp_40p,pass_cmp,pass_att,pass_2pt,cmp_pct,idp_sack_yd,idp_qb_hit,pr,yds_allow_350_399,pts_allow_21_27,fgm_0_19,def_kr_td,pts_allow_28_34,Week,yds_allow_400_449,sleeper_id,yahoo_id,yahoo_name
6744,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,6744,30715.0,Greg Ward
6744,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,6744,30715.0,Greg Ward
6744,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,6744,30715.0,Greg Ward
4234,110.0,6.49,9.53,8.01,50.0,,,,,,1.0,0.87,0.09,0.29,40.0,4.9,0.4,4.0,0.61,0.3,0.3,0.61,0.91,0.61,3.04,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4234,30352.0,Noah Brown
4234,110.0,5.28,8.25,6.77,49.0,,,,,,1.0,0.85,0.08,0.28,34.97,4.9,0.28,3.5,0.59,0.3,0.3,0.59,0.89,0.59,2.97,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,4234,30352.0,Noah Brown
4234,136.0,4.97,7.77,6.37,59.0,,,,,,1.0,0.8,0.08,0.27,32.94,4.9,0.27,3.29,0.56,0.28,0.28,0.56,0.84,0.56,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,4234,30352.0,Noah Brown
2251,90.0,4.77,8.07,6.42,12.0,,,,,,1.0,,,,32.49,5.5,0.25,3.25,0.66,0.33,0.33,0.66,0.99,0.66,3.3,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2251,27648.0,Logan Thomas
2251,74.0,4.93,8.35,6.64,10.0,,,,,,1.0,,,,33.59,5.5,0.26,3.36,0.68,0.34,0.34,0.68,1.02,0.68,3.41,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2251,27648.0,Logan Thomas
2251,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2251,27648.0,Logan Thomas
8058,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8058,,
8058,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,8058,,
8058,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8058,,
3242,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,3242,29307.0,Kenyan Drake
3242,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3242,29307.0,Kenyan Drake
3242,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,3242,29307.0,Kenyan Drake
7922,999.0,8.93,8.93,8.93,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.14,2.57,2.71,0.13,0.19,0.06,74.71,0.25,0.56,0.56,0.44,1.82,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7922,33781.0,Riley Patterson
7922,999.0,8.63,8.63,8.63,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.12,2.48,2.6,0.12,0.18,0.06,72.15,0.24,0.54,0.54,0.42,1.75,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,7922,33781.0,Riley Patterson
7922,999.0,8.52,8.52,8.52,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.12,2.44,2.56,0.12,0.18,0.06,71.22,0.24,0.54,0.54,0.42,1.73,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,7922,33781.0,Riley Patterson
10216,338.0,1.03,1.24,1.14,78.0,,,,,,1.0,4.74,0.47,1.2,1.59,0.3,0.01,0.16,0.04,0.02,0.02,0.04,0.06,0.04,0.21,,,,,,,,,,,,,,,,0.06,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,10216,,
10216,317.0,0.18,0.25,0.22,83.0,,,,,,1.0,0.81,0.08,0.2,0.54,0.1,,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.07,,,,,,,,,,,,,,,,0.01,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,10216,,
10216,381.0,0.19,0.26,0.22,99.0,,,,,,1.0,0.83,0.08,0.2,0.56,0.1,,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.07,,,,,,,,,,,,,,,,0.01,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,10216,,
6233,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,6233,32551.0,Matt Sokol
6233,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,6233,32551.0,Matt Sokol
6233,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,6233,32551.0,Matt Sokol
6865,195.0,1.78,3.01,2.39,39.0,,,,,,1.0,,,,12.36,2.0,0.09,1.24,0.25,0.12,0.12,0.25,0.37,0.25,1.23,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,6865,32803.0,Colby Parkinson
6865,161.0,1.98,3.35,2.66,33.0,,,,,,1.0,,,,13.86,2.2,0.1,1.39,0.28,0.14,0.14,0.28,0.41,0.28,1.38,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,6865,32803.0,Colby Parkinson
6865,187.0,2.04,3.46,2.75,39.0,,,,,,1.0,,,,14.32,2.2,0.1,1.43,0.28,0.14,0.14,0.28,0.43,0.28,1.42,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,6865,32803.0,Colby Parkinson
2334,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2334,,
2334,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2334,,
2334,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2334,,
