sleeper_id,adp_dd_ppr,pts_std,pts_ppr,pts_half_ppr,pos_adp_dd_ppr,idp_tkl_solo,idp_tkl_ast,idp_tkl,idp_sack,idp_ff,gp,rec_yd,rec_tgt,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,bonus_rec_te,xpmiss,xpm,xpa,fgmiss_50p,fgmiss_40_49,fgmiss_30_39,fgm_yds,fgm_50p,fgm_40_49,fgm_30_39,fgm_20_29,fgm,fga,rush_yd,rush_td,rush_fd,rush_att,fum_lost,bonus_rec_rb,idp_int,idp_fum_rec,idp_tkl_loss,bonus_rec_wr,yds_allow_300_349,yds_allow,tkl_loss,safe,sack,pts_allow_14_20,pts_allow,pr_yd,pass_int_td,int,fum_rec,ff,def_td,def_pr_yd,def_kr_yd,def_fum_td,blk_kick,rush_40p,fum,rush_2pt,yds_allow_200_299,st_td,pr_td,def_pr_td,rec_td_40p,rec_2pt,idp_pass_def,idp_int_ret_yd,pass_yd,pass_td_40p,pass_td,pass_sack,pass_int,pass_inc,pass_fd,pass_cmp_40p,pass_cmp,pass_att,pass_2pt,cmp_pct,idp_sack_yd,idp_qb_hit,pr,yds_allow_350_399,pts_allow_21_27,fgm_0_19,def_kr_td,pts_allow_28_34,week,yds_allow_400_449,yahoo_id,yahoo_name,player_id,name,status,position_type,eligible_positions,selected_position,team_id,team_name,shape,scale
5849,97.0,18.59,18.59,18.59,13.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.45,0.21,2.25,4.1,0.2,,,,,,,,,,,,,,0.13,,,,,,,,,,0.54,,,,,,,,,,215.93,0.13,1.34,2.14,0.67,11.21,21.59,0.4,20.09,31.3,0.07,64.2,,,,,,,,,12,,31833,Kyler Murray,31833,Kyler Murray,,O,['QB'],QB,1,Pancake Man,43.245000000000000,0.47311827956989200
5849,96.0,17.59,17.59,17.59,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.24,0.2,2.12,4.1,0.19,,,,,,,,,,,,,,0.13,,,,,,,,,,0.51,,,,,,,,,,204.24,0.13,1.27,2.03,0.63,12.3,20.42,0.38,19.0,31.3,0.06,60.72,,,,,,,,,13,,31833,Kyler Murray,31833,Kyler Murray,,O,['QB'],QB,1,Pancake Man,43.245000000000000,0.47311827956989200
5849,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,31833,Kyler Murray,31833,Kyler Murray,,O,['QB'],QB,1,Pancake Man,43.245000000000000,0.47311827956989200
5859,8.0,12.5,17.89,15.2,6.0,,,,,,1.0,85.07,8.2,0.62,8.51,1.08,0.54,0.54,1.08,1.62,1.08,5.39,,,,,,,,,,,,,,,2.76,,0.28,0.49,0.06,,,,,5.39,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,12,,31883,A.J. Brown,31883,A.J. Brown,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,2.8724485833711300,5.9635532204709100
5859,9.0,11.12,16.18,13.65,5.0,,,,,,1.0,77.61,8.0,0.52,7.76,1.01,0.51,0.51,1.01,1.52,1.01,5.06,,,,,,,,,,,,,,,2.59,,0.26,0.46,0.06,,,,,5.06,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.11,0.06,,,,,,,,,,,,,,,,,,,,,,,13,,31883,A.J. Brown,31883,A.J. Brown,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,2.8724485833711300,5.9635532204709100
5859,16.0,10.88,15.83,13.36,10.0,,,,,,1.0,75.92,8.0,0.51,7.59,0.99,0.49,0.49,0.99,1.48,0.99,4.95,,,,,,,,,,,,,,,2.53,,0.25,0.45,0.06,,,,,4.95,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.11,0.06,,,,,,,,,,,,,,,,,,,,,,,14,,31883,A.J. Brown,31883,A.J. Brown,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,2.8724485833711300,5.9635532204709100
4983,45.0,8.7,13.29,10.99,19.0,,,,,,1.0,61.48,7.7,0.36,6.15,0.92,0.46,0.46,0.92,1.38,0.92,4.59,,,,,,,,,,,,,,,4.05,,0.41,0.77,0.06,,,,,4.59,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,12,,30994,DJ Moore,30994,DJ Moore,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,1.3789982008015900,10.119335504886000
4983,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30994,DJ Moore,30994,DJ Moore,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,1.3789982008015900,10.119335504886000
4983,33.0,9.02,13.78,11.4,17.0,,,,,,1.0,63.75,7.7,0.37,6.38,0.95,0.48,0.48,0.95,1.43,0.95,4.76,,,,,,,,,,,,,,,4.2,,0.42,0.8,0.06,,,,,4.76,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,14,,30994,DJ Moore,30994,DJ Moore,,O,"['WR', 'W/R/T']",WR,1,Pancake Man,1.3789982008015900,10.119335504886000
5850,39.0,11.29,13.48,12.38,16.0,,,,,,1.0,16.3,3.2,0.05,1.63,0.44,0.22,0.22,0.44,0.66,0.44,2.18,,,,,,,,,,,,,,,64.0,0.49,6.4,18.0,0.06,2.18,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,31856,Josh Jacobs,31856,Josh Jacobs,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,3.6358474040975900,3.4029831006612800
5850,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,31856,Josh Jacobs,31856,Josh Jacobs,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,3.6358474040975900,3.4029831006612800
5850,29.0,12.29,14.75,13.52,9.0,,,,,,1.0,18.37,3.2,0.06,1.84,0.49,0.25,0.25,0.49,0.74,0.49,2.46,,,,,,,,,,,,,,,71.46,0.49,7.15,16.3,0.06,2.46,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,31856,Josh Jacobs,31856,Josh Jacobs,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,3.6358474040975900,3.4029831006612800
4866,24.0,12.0,14.8,13.4,9.0,,,,,,1.0,21.94,4.0,0.11,2.19,0.56,0.28,0.28,0.56,0.84,0.56,2.8,,,,,,,,,,,,,,,65.0,0.44,6.5,18.0,0.06,2.8,,,,,,,,,,,,,,,,,,,,,,0.13,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
4866,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
4866,12.0,14.4,17.64,16.02,3.0,,,,,,1.0,25.44,4.0,0.13,2.54,0.65,0.32,0.32,0.65,0.97,0.65,3.24,,,,,,,,,,,,,,,80.2,0.51,8.02,18.0,0.07,3.24,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
2251,88.0,4.77,8.07,6.42,12.0,,,,,,1.0,32.49,5.5,0.25,3.25,0.66,0.33,0.33,0.66,0.99,0.66,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
2251,78.0,4.93,8.35,6.64,11.0,,,,,,1.0,33.59,5.5,0.26,3.36,0.68,0.34,0.34,0.68,1.02,0.68,3.41,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
2251,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
9221,18.0,11.02,15.27,13.14,4.0,,,,,,1.0,31.99,5.1,0.28,3.2,0.85,0.43,0.43,0.85,1.27,0.85,4.25,,,,,,,,,,,,,,,43.0,0.33,4.3,8.8,0.07,4.25,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
9221,29.0,9.45,13.55,11.5,15.0,,,,,,1.0,30.8,5.1,0.2,3.08,0.82,0.41,0.41,0.82,1.23,0.82,4.09,,,,,,,,,,,,,,,36.93,0.27,3.69,8.8,0.07,4.09,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
9221,53.0,9.33,13.37,11.35,18.0,,,,,,1.0,30.41,5.1,0.2,3.04,0.81,0.4,0.4,0.81,1.21,0.81,4.04,,,,,,,,,,,,,,,36.46,0.26,3.65,8.8,0.07,4.04,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
5846,51.0,8.42,12.94,10.68,21.0,,,,,,1.0,59.14,7.8,0.4,5.91,0.9,0.45,0.45,0.9,1.36,0.9,4.52,,,,,,,,,,,,,,,1.09,,0.11,0.17,0.06,,,,,4.52,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,12,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
5846,55.0,7.85,12.06,9.96,25.0,,,,,,1.0,55.12,7.1,0.37,5.51,0.84,0.42,0.42,0.84,1.26,0.84,4.21,,,,,,,,,,,,,,,1.01,,0.1,0.16,0.05,,,,,4.21,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,13,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
5846,55.0,8.11,12.46,10.28,26.0,,,,,,1.0,56.92,7.1,0.39,5.69,0.87,0.43,0.43,0.87,1.3,0.87,4.35,,,,,,,,,,,,,,,1.05,,0.1,0.17,0.06,,,,,4.35,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,14,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
8167,101.0,6.69,9.94,8.31,43.0,,,,,,1.0,46.13,5.6,0.33,4.61,0.65,0.33,0.33,0.65,0.98,0.65,3.25,,,,,,,,,,,,,,,2.16,,0.22,0.33,0.06,,,,,3.25,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8167,101.0,5.9,8.76,7.33,46.0,,,,,,1.0,40.64,5.1,0.29,4.06,0.57,0.29,0.29,0.57,0.86,0.57,2.86,,,,,,,,,,,,,,,1.89,,0.19,0.29,0.05,,,,,2.86,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8167,107.0,6.39,9.49,7.94,50.0,,,,,,1.0,44.0,5.1,0.32,4.4,0.62,0.31,0.31,0.62,0.93,0.62,3.1,,,,,,,,,,,,,,,2.05,,0.2,0.32,0.05,,,,,3.1,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8228,83.0,8.6,11.24,9.92,26.0,,,,,,1.0,24.0,3.7,0.08,2.4,0.53,0.26,0.26,0.53,0.79,0.53,2.64,,,,,,,,,,,,,,,39.0,0.33,3.9,8.1,0.08,2.64,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
8228,81.0,7.15,10.05,8.6,27.0,,,,,,1.0,21.44,3.7,0.09,2.14,0.58,0.29,0.29,0.58,0.87,0.58,2.9,,,,,,,,,,,,,,,33.83,0.21,3.38,8.1,0.07,2.9,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
8228,105.0,7.41,10.41,8.91,28.0,,,,,,1.0,22.21,3.7,0.09,2.22,0.6,0.3,0.3,0.6,0.9,0.6,3.0,,,,,,,,,,,,,,,35.05,0.22,3.51,8.1,0.08,3.0,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
9500,82.0,6.9,11.29,9.1,36.0,,,,,,1.0,50.67,6.5,0.26,5.07,0.88,0.44,0.44,0.88,1.32,0.88,4.39,,,,,,,,,,,,,,,2.55,,0.25,0.53,,,,,,4.39,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,12,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
9500,77.0,6.45,10.56,8.51,34.0,,,,,,1.0,47.37,6.5,0.25,4.74,0.82,0.41,0.41,0.82,1.23,0.82,4.1,,,,,,,,,,,,,,,2.38,,0.24,0.49,,,,,,4.1,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,13,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
9500,91.0,6.27,10.26,8.27,41.0,,,,,,1.0,46.05,6.5,0.24,4.61,0.8,0.4,0.4,0.8,1.2,0.8,3.99,,,,,,,,,,,,,,,2.31,,0.23,0.48,,,,,,3.99,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,14,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
7553,89.0,4.66,7.94,6.3,13.0,,,,,,1.0,31.0,5.2,0.26,3.1,0.66,0.33,0.33,0.66,0.98,0.66,3.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
7553,69.0,5.53,8.82,7.17,8.0,,,,,,1.0,39.56,5.2,0.26,3.96,0.66,0.33,0.33,0.66,0.99,0.66,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
7553,78.0,5.91,9.43,7.67,9.0,,,,,,1.0,42.29,5.2,0.28,4.23,0.7,0.35,0.35,0.7,1.06,0.7,3.52,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
KC,999.0,7.97,7.97,7.97,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.48,5.72,0.07,2.68,1.0,17.25,17.31,0.07,0.92,0.56,0.79,0.14,69.15,51.85,0.07,0.07,,,,1.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,12,,100012,Kansas City,100012,Kansas City,,DT,['DEF'],DEF,1,Pancake Man,6.630612244897960,1.4327485380117000
KC,999.0,7.59,7.59,7.59,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.89,5.31,0.07,2.58,1.0,17.25,16.07,0.07,0.88,0.53,0.73,0.13,64.22,48.15,0.07,0.07,,,,1.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,13,,100012,Kansas City,100012,Kansas City,,DT,['DEF'],DEF,1,Pancake Man,6.630612244897960,1.4327485380117000
